Entity,Code,1750,1751,1752,1753,1754,1755,1756,1757,1758,1759,1760,1761,1762,1763,1764,1765,1766,1767,1768,1769,1770,1771,1772,1773,1774,1775,1776,1777,1778,1779,1780,1781,1782,1783,1784,1785,1786,1787,1788,1789,1790,1791,1792,1793,1794,1795,1796,1797,1798,1799,1800,1801,1802,1803,1804,1805,1806,1807,1808,1809,1810,1811,1812,1813,1814,1815,1816,1817,1818,1819,1820,1821,1822,1823,1824,1825,1826,1827,1828,1829,1830,1831,1832,1833,1834,1835,1836,1837,1838,1839,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Egypt,EGY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10992.0,84272.0,40304.0,307776.0,91600.0,179536.0,421360.0,864704.0,688832.0,454336.0,560592.0,531280.0,468992.0,498304.0,553264.0,531280.0,567920.0,868010.0,922615.0,1021042.0,1006619.0,951659.0,870873.0,823211.0,745911.0,727769.0,687495.0,877844.0,2226199.0,3028672.0,3951762.0,3834514.0,4102373.0,4358438.0,4354743.0,4222215.0,4412505.0,6148766.0,7459972.0,10233085.0,10558736.0,10892903.0,10778724.0,11664430.0,10642057.0,9942292.0,11916743.0,13682583.0,12706859.0,16032730.0,17065918.0,18571110.0,21526860.0,25491248.0,27609458.0,26532150.0,19649910.0,22872626.0,19664752.0,21654010.0,23012404.0,25474998.0,23761076.0,26089140.0,31059912.0,34450452.0,37815064.0,39261004.0,42889508.0,45176028.0,50902684.0,56431170.0,56980476.0,63704310.0,63807230.0,74392900.0,74613520.0,74309480.0,71904560.0,75217530.0,77295850.0,79939880.0,92277976.0,88372740.0,98994500.0,97950850.0,111704890.0,125025720.0,128221096.0,143836050.0,127656536.0,129155000.0,149919400.0,152575700.0,168216830.0,179194160.0,188805040.0,197727730.0,206477900.0,203607570.0,216917280.0,213733500.0,211418910.0,226899340.0,224479740.0,239385580.0,260110600.0,243907890.0,256140160.0,227637950.0,246884400.0,258951660.0
El Salvador,SLV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,267472.0,322432.0,388384.0,417547.0,468784.0,461426.0,527349.0,596875.0,596875.0,604233.0,618859.0,582279.0,648261.0,1124521.0,1230747.0,1040249.0,1303819.0,1157259.0,1259792.0,1190235.0,1428306.0,1508825.0,1677221.0,1966587.0,1970043.0,2105463.0,2206733.0,2281687.0,2381372.0,2376721.0,2119434.0,1818731.0,1752098.0,1885365.0,1588299.0,1965338.0,1967496.0,2414492.0,2433068.0,2547246.0,2475071.0,3154717.0,3316777.0,3975594.0,4512672.0,4998356.0,4414490.0,5415735.0,5731188.0,5587859.0,5670975.0,5857395.0,6069883.0,6434851.0,6253812.0,6297707.0,6717812.0,6845580.0,6404717.0,6312459.0,6318629.0,6499405.0,6471882.0,6094472.0,6151155.0,6667772.0,6595795.0,5969700.0,6262603.0,7549650.0,6594499.0,7487630.0,7714380.0
Equatorial Guinea,GNQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10992.0,10992.0,10992.0,10992.0,29312.0,36640.0,36640.0,32976.0,47632.0,47632.0,21984.0,21984.0,21984.0,25648.0,25648.0,29312.0,25648.0,25648.0,29312.0,43968.0,36640.0,65952.0,87936.0,29312.0,51296.0,62288.0,62288.0,62288.0,69616.0,62288.0,58624.0,69616.0,73280.0,62288.0,80608.0,65952.0,80608.0,98928.0,106256.0,117248.0,62288.0,65952.0,65952.0,69616.0,1152916.0,1227055.0,1355536.0,1974754.0,2302334.0,2511309.0,2699265.0,3094681.0,2761457.0,3133436.0,6137383.0,6208019.0,6181641.0,5723963.0,5941702.0,4901532.0,6402228.0,6094526.0,6900679.0,8196183.0,7672193.0,7033487.0,7558256.0,7862125.0,6008448.0,4637975.0,5524802.0,5629140.0,5076202.0
Eritrea,ERI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14537.0,7269.0,3634.0,10903.0,14537.0,18171.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0.0,743834.0,822787.0,898479.0,808466.0,586169.0,615453.0,604433.0,626345.0,600625.0,710473.0,769025.0,768953.0,548946.0,563359.0,409357.0,497314.0,497337.0,577818.0,608229.0,569510.0,569107.0,554345.0,557483.0,557061.0,623013.0,648089.0,640911.0,700427.0,696826.0
Estonia,EST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,185.0,222.0,148.0,185.0,,,,,,,,,,,,,,,,,1148.0,,,,,3482.0,,,4889.0,5185.0,6852.0,8704.0,7852.0,8222.0,9222.0,8815.0,27852.0,31964.0,26593.0,36075.0,39149.0,52853.0,54260.0,50927.0,61816.0,71150.0,88335.0,90150.0,117817.0,120891.0,141818.0,149373.0,157336.0,179078.0,181818.0,198041.0,203115.0,214930.0,224190.0,242116.0,274191.0,301895.0,319562.0,374563.0,381489.0,438342.0,446231.0,515936.03,578641.0,671273.0,760423.0,780682.0,754015.0,737570.0,820609.0,732496.0,835498.0,935834.0,941574.0,993946.0,974760.0,1010612.94,1144801.0,1243617.0,1122393.0,1030205.94,1098022.0,1010539.06,403008.0,344229.0,313895.0,340414.0,415156.0,458602.0,546381.0,539270.0,781349.0,971427.0,1091104.0,1172884.0,1587757.0,1905998.0,2145405.0,2396647.0,2898490.0,3282067.0,3765745.0,3852209.0,4067478.2,4116042.2,4920145.0,4323082.0,2347417.0,2449901.0,3552812.0,3763153.0,4230481.0,5094904.0,5422936.0,6165050.0,6873541.0,7450483.0,7979128.0,8442477.0,9222104.0,10457887.0,11465831.0,12548095.0,13394630.0,14084843.0,14666819.0,15125594.0,15874288.0,17021332.0,18099436.0,19199664.0,20275848.0,21198642.0,21790676.0,22690618.0,23870596.0,25334468.0,26662172.0,27795136.0,28860686.0,30345080.0,31512066.0,32583110.0,33697296.0,33973840.0,35313856.0,34639116.0,35293228.0,35798330.0,36118628.0,38959372.0,38727904.0,38528104.0,38564040.0,39366484.0,36919604.0,34147164.0,24421038.0,19438748.0,20045086.0,18061320.0,19043080.0,18682882.0,16940746.0,15937988.0,15481725.0,15882095.0,15370402.0,17263582.0,17327458.0,17096810.0,16444916.0,19942080.0,17822380.0,14417051.0,18975448.0,18956354.0,17771784.0,19660420.0,18828278.0,15823998.0,17489174.0,18738382.0,17884834.0,12323983.0,9238881.0,10419918.0,10311845.0
Eswatini,SWZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3664.0,3664.0,3664.0,3664.0,3664.0,3664.0,3664.0,3664.0,3664.0,3664.0,32976.0,3664.0,,,10992.0,80608.0,201520.0,227168.0,278464.0,304112.0,366400.0,399376.0,381056.0,370064.0,311440.0,337088.0,333424.0,340752.0,439680.0,447008.0,465328.0,436016.0,436016.0,271136.0,333424.0,439680.0,458000.0,436016.0,436016.0,436016.0,959968.0,872032.0,831728.0,710816.0,1077216.0,1062560.0,787760.0,1143168.0,1161488.0,1238432.0,1209120.0,1095536.0,1080880.0,1003936.06,1000272.06,1014928.0,1014928.0,1040576.0,1022256.0,1058896.0,996608.0,1007599.94,1168816.0,1399648.0,769440.0,868368.0,1055232.0,985616.0,1033247.94,1121184.0,1091872.0,1131434.0,1265046.0
Ethiopia,ETH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10903.0,10903.0,10903.0,,,,,3634.0,3634.0,87907.0,62258.0,98898.0,183170.0,271016.0,227049.0,241705.0,322343.0,318649.0,336999.0,351625.0,340633.0,395534.0,421213.0,406526.0,644480.0,823984.0,1072958.0,1725031.0,1666435.0,1651721.0,1849458.0,1406203.0,1750887.0,1736261.0,1208526.0,1174729.0,1046785.94,1368501.0,1844135.0,1817483.0,1860007.0,1473914.0,1834754.0,1650281.0,1798710.0,2195246.0,2554381.0,2640066.0,2794114.0,2986507.0,2958472.0,2936737.0,2993623.0,2197201.0,2505953.0,2794189.0,2980158.0,3147422.0,3094276.0,3462855.0,4264586.0,4431687.0,4870232.0,5158551.0,4956129.0,5318177.0,5839596.0,6417597.0,6453445.0,6336871.0,7402480.0,8108686.5,9781029.0,12016546.0,12696406.0,14424923.0,15583688.0,15988957.0,16674992.0,17810122.0,18919488.0,19073260.0
Faroe Islands,FRO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40304.0,40304.0,54960.0,84272.0,76944.0,98928.0,113584.0,95264.0,117248.0,98928.0,58624.0,113584.0,117248.0,124576.0,120912.0,135568.0,139232.0,168544.0,183200.0,212512.0,256480.02,260144.0,234496.0,252815.98,300448.0,348080.0,329760.0,406704.0,399376.0,479984.0,421360.0,439680.0,458000.0,487312.0,498304.0,516623.97,490976.0,498304.0,527616.0,578912.0,703488.0,655856.0,648528.0,582576.0,575248.0,571584.0,600896.0,589904.0,622880.0,630208.0,688832.0,762112.0,725472.0,732800.0,747456.0,721808.0,677840.0,688832.0,630208.0,575248.0,630208.0,567920.0,589904.0,648528.0,597232.0,608224.0,630208.0,707152.0,725472.0,740128.0,758448.0,736770.0,748133.0
Fiji,FJI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120912.0,131904.0,157552.0,168544.0,157552.0,172208.0,194192.0,164880.0,175872.0,197856.0,194192.0,168544.0,230832.0,241824.0,424905.0,344267.0,322252.0,355228.0,395504.0,432146.0,520050.0,549271.0,578555.0,629851.0,670185.0,622581.0,482997.0,764627.0,709084.0,836456.0,792420.0,1077173.0,835123.0,708926.0,577209.0,572991.0,598086.0,471995.0,549765.0,625202.0,801220.0,655032.0,730309.0,728647.0,723077.0,736697.0,792447.0,764285.0,743300.0,756467.0,814852.0,1042053.0,879737.0,1037013.06,1340918.0,1082308.0,1202662.0,1140350.0,846043.0,741810.0,1091800.0,998622.0,968907.0,1106116.0,1251551.0,1319945.0,1259717.0,1361855.0,1410107.0,1408048.0,1040951.94,1085736.0,1073925.0
Finland,FIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36640.0,73280.0,73280.0,76944.0,47632.0,62288.0,69616.0,62288.0,87936.0,69616.0,91600.0,113584.0,91600.0,87936.0,124576.0,84272.0,95264.0,113584.0,128240.01,76944.0,98928.0,98928.0,120912.0,117248.0,142896.0,219840.0,128240.01,128240.01,120912.0,161216.0,208848.0,219840.0,194192.0,194192.0,219840.0,234496.0,296784.0,516623.97,487312.0,736464.0,600896.0,421360.0,399376.0,512960.03,527616.0,586240.0,615552.0,886688.0,1406976.0,1282400.0,1062560.0,1315376.0,1483920.0,1663456.0,688832.0,106256.0,179536.0,120912.0,73280.0,238160.0,274800.0,282128.0,710816.0,1476592.0,1744064.0,1711088.0,1597504.0,2850592.0,3127927.0,3351431.0,2648241.0,3011154.0,3022177.0,3223666.0,3952535.0,3516342.0,4963383.0,6780401.0,5695588.0,4870834.0,2314430.0,3245056.0,2809575.0,3945176.0,2725303.0,640077.0,3281607.0,5450338.0,8457918.0,4932763.0,6544565.0,7976833.0,8654883.0,7566048.0,9152148.0,10925492.0,12167915.0,12241255.0,10607200.0,13555739.0,15086935.0,14921697.0,16790280.0,19336490.0,22827688.0,25300086.0,29488840.0,28587734.0,33281468.0,37896828.0,40355044.0,40536760.0,44106084.0,49320160.0,46608372.0,46025676.0,51198464.0,50136984.0,51825016.0,54237020.0,58139290.0,51403284.0,42976476.0,41463372.0,42147140.0,49549076.0,53214370.0,57533400.0,52058084.0,52447930.0,56915000.0,55188000.0,54265000.0,56314000.0,61732000.0,58116000.0,64032996.0,62696000.0,59352000.0,58866000.0,57010000.0,62514000.0,65041000.0,72654000.0,68939000.0,57047000.0,68371000.0,66760004.0,58621000.0,55906000.0,64081000.0,56638000.0,51146000.0,51715000.0,47619000.0,44186000.0,47248000.0,44654000.0,45730000.0,42454000.0,37735000.0,37947000.0,36163000.0
France,FRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2238704.0,,2176416.0,,,,,,2121456.0,2051840.1,2216720.0,2048176.0,2092144.0,2341296.0,2498848.0,2660064.0,2381600.0,2557472.0,2901888.0,3011808.0,3169360.0,3169360.0,3517440.0,3957120.0,4089024.0,5910032.0,6243456.0,6074912.0,6551232.0,6052928.0,6679472.0,7247392.0,8921840.0,9258928.0,10636592.0,11351072.0,11867696.0,11570912.0,11798080.0,13820608.0,14527760.0,14549744.0,15260560.0,17836352.0,18528848.0,20840832.0,16689520.0,17385680.0,19617056.0,20038416.0,21569968.0,25340224.0,29213072.0,33071262.0,34632130.0,35280656.0,34595490.0,34991200.0,38131250.0,41241984.0,43524656.0,44187840.0,46829584.0,49302784.0,53560350.0,54278496.0,55531584.0,56942224.0,50537550.0,50262750.0,60924990.0,65849412.0,62643410.0,65259508.0,65358428.0,63925810.0,65222864.0,67498210.0,76148910.0,77984580.0,82308100.0,86320180.0,82912660.0,79713980.0,79072780.0,83290050.0,86653600.0,88797040.0,97817810.0,97982690.0,98121920.0,96330220.0,101899500.0,102775200.0,106281650.0,111261020.0,115045940.0,120300110.0,129276920.0,125004690.0,117662030.0,129342860.0,125997630.0,127426590.0,136568270.0,145596370.0,146713890.0,150095760.0,150612380.0,156907140.0,158577920.0,171112460.0,118350860.0,103233200.0,109689170.0,121604500.0,108450740.0,116141470.0,151777540.0,137909300.0,163150600.0,184189280.0,206634940.0,213827380.0,213732110.0,213039620.0,211619150.0,234282100.0,237634190.0,217493550.0,191775420.0,199387060.0,201350060.0,195372340.0,198079070.0,217705010.0,201798460.0,194617020.0,137737090.0,119927290.0,122495736.0,125245670.0,79986440.0,107165640.0,165245170.0,183624110.0,196500540.0,229050910.0,202278640.0,228729010.0,226986500.0,214548210.0,226351860.0,238981800.0,268499330.0,277497020.0,266153710.0,261890110.0,296114140.0,315681660.0,332886800.0,338007600.0,368855740.0,363467780.0,380366100.0,404644320.0,418226300.0,443373900.0,460424580.0,493394880.0,513963550.0,538654660.0,520659300.0,482165020.0,523447400.0,506948320.0,528755420.0,532113000.0,511046700.0,459302340.0,440364100.0,423247680.0,411961200.0,405137760.0,390285000.0,387705100.0,385544860.0,399619550.0,393430700.0,417775000.0,407717280.0,388397980.0,381576320.0,386456830.0,402893150.0,395511900.0,413964540.0,412369630.0,406507520.0,411016480.0,406431040.0,412456700.0,413663400.0,416151140.0,406309800.0,396198180.0,389427330.0,370965630.0,376563900.0,354089100.0,356444540.0,358487460.0,327009470.0,331414430.0,334005060.0,336895900.0,322078560.0,315449730.0,281539040.0,306775740.0,297533920.0
French Polynesia,PYF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43968.0,43968.0,51296.0,51296.0,29312.0,36640.0,58624.0,47632.0,65952.0,65952.0,84272.0,120912.0,139232.0,153888.0,161216.0,194192.0,227168.0,216176.0,208848.0,216176.0,212512.0,263808.0,274800.0,311440.0,282128.0,293120.0,329760.0,337088.0,421360.0,461664.0,589904.0,608224.0,611888.0,575248.0,542272.0,468992.0,468992.0,447008.0,468992.0,479984.0,472656.0,468992.0,490976.0,487312.0,538608.0,611888.0,725472.0,725472.0,780432.0,769440.0,828064.0,820736.0,813408.0,835392.0,839056.0,923328.0,886688.0,875696.0,879360.0,850048.0,846384.0,868368.0,861040.0,875696.0,875696.0,846384.0,883174.0,873217.0
Gabon,GAB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10448.0,13930.0,18066.0,15236.0,16107.0,15889.0,20678.0,22202.0,25467.0,21984.0,131904.0,164880.0,87936.0,73280.0,190528.0,216176.0,381056.0,1011263.94,1960240.0,1432624.0,2081152.0,2843264.0,2737008.0,5309136.0,5448368.0,5364096.0,5703786.0,6306500.0,7554862.0,6746761.0,6624651.0,6564034.0,6543617.0,5508589.0,5979462.0,6298543.0,4950761.0,4009482.0,4320706.0,5757464.0,4484725.0,4521703.0,4916933.0,4974695.0,4541731.0,5220396.0,5885637.0,5526934.0,6452915.0,6014019.0,6128187.0,6480018.0,6250311.0,6746069.0,6386339.0,6223081.0,5542535.0,5037635.0,5378889.0,5304448.0,5836069.0,5827907.0,5629798.0,5926811.0,6369402.0,6475558.0,6521700.0,5879220.0,5473967.0,5426023.0,5928799.0,5880372.0,5705554.0
Gambia,GMB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14656.0,14656.0,10992.0,10992.0,14656.0,14656.0,18320.0,21984.0,25648.0,18320.0,18320.0,21984.0,25648.0,29312.0,29312.0,29312.0,32976.0,32976.0,36640.0,47632.0,47632.0,54960.0,65952.0,62288.0,62288.0,98928.0,98928.0,113584.0,139232.0,146560.0,157552.0,157552.0,161216.0,161216.0,172208.0,172208.0,161216.0,179536.0,183200.0,179536.0,197856.0,197856.0,197856.0,208848.0,208848.0,216176.0,219840.0,223504.0,241824.0,274800.0,274800.0,300448.0,296784.0,296784.0,318768.0,322432.0,348080.0,348080.0,362736.0,373728.0,425024.0,443344.0,447008.0,425024.0,505631.97,582576.0,589904.0,593568.0,648528.0,710816.0,699824.0,757034.0,770472.0
Georgia,GEO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.0,90.0,60.0,75.0,,,,,,,,,,,,,,,,,466.0,,,,,1414.0,,,1986.0,2106.0,2783.0,3535.0,3189.0,3340.0,3746.0,3580.0,11312.0,12982.0,10801.0,14652.0,15900.999,21466.0,22038.0,20684.0,25107.0,28898.0,35878.0,36615.0,47852.0,49101.0,57600.0,60669.0,63902.996,72733.0,73846.0,80435.0,82496.0,87295.0,91056.0,98336.0,111364.0,122616.0,129792.01,152130.0,154944.0,178035.0,181239.0,209550.0,235018.0,272640.0,308849.0,317078.0,306247.0,299568.0,333294.0,297507.0,339341.0,380093.0,382425.0,403696.0,395903.0,410465.0,464966.0,505101.03,455865.0,418423.0,445967.0,410435.0,163684.0,139810.0,127490.0,138261.0,168618.0,186263.0,221915.0,219027.0,317348.0,394549.0,433422.0,466791.0,637101.0,766080.0,862101.0,964953.0,1166152.0,1318160.0,1509093.0,1544759.0,1630597.0,1650674.0,1979384.0,1738383.0,953414.0,995038.0,1442991.0,1521627.0,1705694.0,2051789.0,2179399.0,2476257.0,2756028.0,2983914.0,3194560.0,3378567.0,3686628.0,4179800.0,4587293.0,5022111.0,5364110.0,5640086.0,5873772.0,6064476.0,6373661.0,6844163.0,7286811.0,7733738.0,8170169.0,8550794.0,8799153.0,9169735.0,9639578.0,10241044.0,10782319.0,11246717.0,11684918.0,12290572.0,12762136.0,13195060.0,13649930.0,13760871.0,14295843.0,14034643.0,14298791.0,14503914.0,14634463.0,15773987.0,15575122.0,15728214.0,16318989.0,16196152.0,15948386.0,15872158.0,15276915.0,9915700.0,6067844.0,2290286.0,4053812.0,4426263.0,4939172.0,4310981.0,4500388.0,3724984.0,3348291.0,3731537.0,4271842.0,5013924.0,6093048.0,6361687.0,5308807.0,6135626.0,6208043.0,7804526.0,8254474.5,8012545.5,8938688.0,9756186.0,10067680.0,10172526.0,10062534.0,10886591.0,10574546.0,11056113.0,11092909.0
Germany,DEU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,468992.0,479984.0,443344.0,447008.0,534944.0,549600.0,575248.0,626544.0,795088.0,534944.0,553264.0,534944.0,1007599.94,1040576.0,937984.0,2689376.0,897680.0,930656.0,978288.0,926992.0,912336.0,890352.0,883024.0,1029584.06,2385264.0,3381872.0,3532096.0,3275616.0,3381872.0,3532096.0,3631024.0,4034063.8,3231648.0,4338176.0,4187952.0,4539696.0,4539696.0,3631024.0,4792512.0,4590992.0,3447824.0,4378480.0,4411456.0,4931744.0,5191888.0,5950336.0,6631840.0,7020224.0,9174656.0,9548384.0,10882080.0,10299504.0,10882080.0,12611488.0,13186736.0,13838928.0,12827664.0,13622752.0,15139648.0,16869056.0,19173712.0,20760224.0,24365600.0,28615840.0,30924160.0,32939362.0,35610416.0,33807730.0,36394510.0,41329920.0,45539856.0,49383390.0,56641776.0,63467810.0,62907216.0,69154340.0,74368210.0,77592530.0,76639890.0,85349220.0,92109300.0,98367410.0,71594560.0,101518450.0,103438380.0,101302270.0,104544910.0,110846990.0,124502720.0,134263620.0,143665440.0,153092910.0,157526350.0,161183020.0,163033340.0,170390660.0,186347380.0,198848940.0,208232450.0,220840270.0,214988860.0,220712030.0,229498300.0,238284580.0,256260160.0,273554240.0,285377950.0,303283940.0,326759200.0,325557400.0,319189380.0,343598940.0,356122460.0,382323740.0,361937250.0,442182530.0,446641600.0,445571700.0,445366530.0,458586240.0,499121060.0,535083260.0,497926600.0,462906100.0,500696600.0,524578560.0,503422600.0,387427700.0,429208300.0,473179970.0,455460830.0,331929100.0,451793180.0,458065950.0,413236900.0,481185800.0,505010900.0,539234750.0,462091780.0,385964900.0,347485760.0,364980800.0,408619780.0,452332830.0,499634430.0,563512600.0,601272640.0,648625500.0,654325000.0,660793200.0,667899400.0,679430140.0,600273150.0,116064530.0,271682430.0,317660030.0,377816400.0,432148030.0,510681820.0,576865540.0,610980600.0,623492030.0,659731900.0,723498430.0,766190800.0,777907650.0,756379140.0,755794560.0,813950200.0,834839600.0,883168600.0,945498000.0,968917500.0,960102200.0,951422000.0,936229440.0,984790850.0,1052000830.0,1026022340.0,1037236800.0,1041480960.0,1085738400.0,1062726900.0,1002447000.0,1090840400.0,1052608500.0,1079132500.0,1117888300.0,1100066000.0,1048523300.0,1015733900.0,1011604900.0,1033244600.0,1044117900.0,1047471940.0,1032442900.0,1029024200.0,1008792400.0,1054740600.0,1016870300.0,969474200.0,959367200.0,943184830.0,939897150.0,959653300.0,931486900.0,923467000.0,895402100.0,898938050.0,915242100.0,898834560.0,899858370.0,885632500.0,865470700.0,877497660.0,850229800.0,852857860.0,788285800.0,831129600.0,807613950.0,812815550.0,833804350.0,794738500.0,798084740.0,801744600.0,785985860.0,754811140.0,707491400.0,647252300.0,678798900.0,665604700.0
